#{"t_start": 1664975742.4017158, "env_id": null}
r,l,t
-51.0,51,53.236404
-51.0,51,53.255962
-51.0,51,53.317285
-51.0,51,53.42358
-51.0,51,53.47279
-51.0,51,53.490686
-43.0,43,53.512435
-33.0,33,53.615178
-27.0,27,53.627226
-51.0,51,53.643168
-51.0,51,53.707326
-51.0,51,53.823099
-51.0,51,53.834841
-51.0,51,53.850403
-51.0,51,53.895697
-51.0,51,53.991691
-51.0,51,54.004622
-51.0,51,54.020649
-51.0,51,54.080507
-31.0,31,54.115579
-51.0,51,54.165146
-51.0,51,54.186862
-51.0,51,54.240357
-16.0,16,54.243301
-51.0,51,54.275571
-51.0,51,54.326297
-51.0,51,54.422512
-51.0,51,54.427052
-3.0,3,54.432809
-51.0,51,54.470855
-12.0,12,54.483256
-21.0,21,54.508191
-51.0,51,54.528302
-51.0,51,54.62858
-51.0,51,54.637785
-51.0,51,54.658534
-51.0,51,54.679107
-51.0,51,54.801626
-51.0,51,54.815239
-40.0,40,54.828885
-51.0,51,54.849017
-51.0,51,55.04133
-51.0,51,55.058242
-51.0,51,57.75086
-51.0,51,57.760719
-51.0,51,57.904757
-51.0,51,57.912396
-51.0,51,57.921309
-3.0,3,57.932425
-51.0,51,57.93627
-35.0,35,58.071046
-51.0,51,58.095415
-7.0,7,58.099404
-51.0,51,58.107438
-51.0,51,58.130816
-38.0,38,58.237934
-51.0,51,58.285392
-51.0,51,58.297608
-51.0,51,58.320966
-51.0,51,58.43507
-51.0,51,58.480569
-51.0,51,58.491122
-51.0,51,58.506764
-20.0,20,58.543415
-51.0,51,58.606666
-51.0,51,58.651304
-51.0,51,58.678388
-51.0,51,58.728359
-9.0,9,58.763483
-51.0,51,58.790384
-51.0,51,58.831332
-24.0,24,58.844595
-51.0,51,58.855807
-27.0,27,58.921134
-51.0,51,58.948212
-51.0,51,58.987712
-51.0,51,59.026208
-51.0,51,59.106303
-51.0,51,59.138235
-51.0,51,59.175586
-9.0,9,59.202693
-51.0,51,59.202746
-51.0,51,59.304109
-51.0,51,59.334849
-51.0,51,59.422129
-51.0,51,59.422182
-35.0,35,59.446671
-21.0,21,59.504263
-15.0,15,59.50872
-51.0,51,59.543629
-35.0,35,59.562762
-51.0,51,59.679393
-51.0,51,59.682518
-51.0,51,59.705209
-51.0,51,59.719721
-51.0,51,59.837667
-51.0,51,59.8408
-51.0,51,59.863571
-51.0,51,59.877951
-51.0,51,60.02331
-51.0,51,60.027879
-51.0,51,60.063887
-51.0,51,60.087034
-36.0,36,60.240734
-51.0,51,60.246037
-51.0,51,60.250922
-4.0,4,60.258212
-51.0,51,60.290352
-17.0,17,60.365207
-51.0,51,60.484481
-51.0,51,60.489918
-51.0,51,60.499485
-51.0,51,60.591062
-27.0,27,60.602679
-51.0,51,60.664515
-51.0,51,60.667788
-33.0,33,60.688659
-20.0,20,60.741886
-51.0,51,60.789571
-51.0,51,60.898214
-51.0,51,60.928089
-51.0,51,60.97752
-9.0,9,61.005768
-51.0,51,61.008874
-51.0,51,61.072769
-51.0,51,61.095676
-51.0,51,61.184216
-51.0,51,61.188575
-51.0,51,61.267091
-51.0,51,61.294929
-51.0,51,61.376998
-51.0,51,61.381801
-47.0,47,61.467403
-51.0,51,61.515825
-51.0,51,61.609089
-51.0,51,61.613596
-51.0,51,61.686738
-42.0,42,61.692864
-51.0,51,61.824306
-32.0,32,61.824363
-51.0,51,61.828584
-51.0,51,61.914184
-22.0,22,62.010031
-51.0,51,62.044864
-51.0,51,62.044934
-51.0,51,62.049185
-51.0,51,62.219066
-51.0,51,62.25485
-51.0,51,62.254908
-51.0,51,62.259298
-28.0,28,62.371024
-51.0,51,62.518399
-51.0,51,62.518462
-51.0,51,62.523653
-51.0,51,62.611468
-51.0,51,62.758261
-51.0,51,62.758321
-51.0,51,62.762914
